State,ID,Abbreviation,WirelineN,WirelessN,VoIPN,TextsN,Longitude,Latitude,Total,Wireline,Wireless,VoIP,Texts
Alabama,alabama,AL,106931,2728645,119356,11419,-86.902298,32.318231,2966351,3.604799297,91.98658554,4.023664091,0.384951073
Alaska,alaska,AK,0,0,0,0,-154.493062,63.588753,0,0,0,0,0
American  Samoa,american  samoa,AS,0,0,0,0,-170.132217,-14.270972,0,0,0,0,0
Arizona,arizona,AZ,639526,4822657,331666,6881,-111.093731,34.048928,5800730,11.02492273,83.1387946,5.717659674,0.118623001
Arkansas,arkansas,AR,157116,1731425,51723,2129,-91.831833,35.20105,1942393,8.088785328,89.13875822,2.662849382,0.109607067
California,california,CA,1810942,23242971,1476428,95539,-119.417932,36.778261,26625880,6.801435295,87.29465843,5.545086209,0.358820065
Colorado,colorado,CO,189003,2980585,171216,10675,-105.782067,39.550051,3351479,5.639390848,88.93342312,5.108669933,0.318516094
Connecticut,connecticut,CT,174755,1689291,143152,5112,-73.087749,41.603221,2012310,8.684298145,83.94785098,7.113814472,0.254036406
Delaware,delaware,DE,0,0,0,0,-75.52767,38.910832,0,0,0,0,0
District of Columbia,district of columbia,DC,104600,747421,106011,2802,-77.033418,38.910832,960834,10.88637579,77.78877517,11.03322738,0.291621654
District of Columbia,district of columbia,DC,104600,747421,106011,2802,-77.025955,38.910832,960834,10.88637579,77.78877517,11.03322738,0.291621654
Florida,florida,FL,0,0,0,0,-81.515754,38.910832,0,0,0,0,0
Georgia,georgia,GA,0,0,0,0,-82.907123,38.910832,0,0,0,0,0
Guam,guam,GU,0,0,0,0,144.793732,38.910832,0,0,0,0,0
Hawaii,hawaii,HI,202334,1186399,52372,3513,-155.665857,38.910832,1444618,14.00605558,82.1254477,3.62531825,0.243178473
Idaho,idaho,ID,0,0,0,0,-114.742041,38.910832,0,0,0,0,0
Illinois,illinois,IL,914464,6696579,683819,9139,-89.398528,38.910832,8304001,11.01233008,80.64280098,8.234813556,0.110055382
Indiana,indiana,IN,242168,3378796,226970,15248,-85.602364,38.910832,3863182,6.268614836,87.46147606,5.875208572,0.394700534
Iowa,iowa,IA,144423,1029196,15817,2639,-93.097702,38.910832,1192075,12.1152612,86.33651406,1.326846046,0.221378688
Kansas,kansas,KS,122234,1434853,133614,8410,-98.484246,38.910832,1699111,7.193997332,84.44727861,7.863759342,0.49496472
Kentucky,kentucky,KY,561954,2236612,149566,3505,-84.270018,38.910832,2951637,19.03872326,75.77530706,5.06722202,0.118747664
Louisiana,louisiana,LA,625775,2932723,172348,9382,-92.145024,38.910832,3740228,16.73093191,78.41027338,4.607954381,0.250840323
Maine,maine,ME,69854,487326,54334,848,-69.445469,38.910832,612362,11.40730483,79.58135874,8.872856252,0.13848018
Maryland,maryland,MD,993057,3389450,0,11715,-76.641271,38.910832,4394222,22.59915407,77.13424583,0,0.266600094
Massachusetts,massachusetts,MA,645268,2595864,0,6056,-71.382437,38.910832,3247188,19.87159351,79.94190666,0,0.186499827
Michigan,michigan,MI,729236,5699117,438819,9313,-85.602364,38.910832,6876485,10.60477846,82.87834555,6.381443426,0.135432565
Minnesota,minnesota,MN,292632,2536160,149879,9462,-94.6859,38.910832,2988133,9.793138391,84.87440151,5.015807529,0.316652572
Mississippi,mississippi,MS,0,0,0,0,-89.398528,38.910832,0,0,0,0,0
Missouri,missouri,MO,417041,2193977,162560,10164,-91.831833,38.910832,2783742,14.98130933,78.81394899,5.839621632,0.365120043
Montana,montana,MT,0,0,0,0,-110.362566,38.910832,0,0,0,0,0
Nebraska,nebraska,NE,107638,810193,63849,3510,-99.901813,38.910832,985190,10.92560826,82.23723343,6.48088186,0.356276454
Nevada,nevada,NV,0,0,0,0,-116.419389,38.910832,0,0,0,0,0
New Hampshire,new hampshire,NH,37267,385964,50287,601,-71.572395,38.910832,474119,7.86026293,81.40656671,10.60640894,0.126761425
New Jersey,new jersey,NJ,1233202,7726569,1435,0,-74.405661,38.910832,8961206,13.7615629,86.22242363,0.01601347,0
New Mexico,new mexico,NM,607799,1181593,42797,0,-105.032363,38.910832,1832189,33.17337895,64.49078125,2.335839807,0
New York,new york,NY,0,0,0,0,-74.217933,38.910832,0,0,0,0,0
North Carolina,north carolina,NC,879236,6042589,658664,14889,-79.0193,38.910832,7595378,11.57593473,79.55613269,8.671905467,0.19602711
North Dakota,north dakota,ND,31500,234682,4446,704,-101.002012,38.910832,271332,11.60939366,86.49256262,1.638582991,0.259460734
Northern Mariana Islands,northern mariana islands,MP,0,0,0,0,145.75,38.910832,0,0,0,0,0
Ohio,ohio,OH,449788,4819288,373983,17227,-82.907123,38.910832,5660286,7.946382921,85.14212886,6.607139639,0.304348579
Oklahoma,oklahoma,OK,213556,2202168,0,14576,-97.092877,38.910832,2430300,8.787227914,90.61301074,0,0.599761346
Oregon,oregon,OR,79792,1878261,124625,7872,-120.554201,38.910832,2090550,3.816794623,89.84530387,5.961349884,0.376551625
Pennsylvania,pennsylvania,PA,1553546,6203322,602581,16208,-77.194525,38.910832,8375657,18.54834791,74.06370629,7.194432628,0.193513178
Puerto Rico,puerto rico,PR,45509,1085584,0,7684,-66.590149,38.910832,1138777,3.996304808,95.32893622,0,0.674758974
Puerto Rico,puerto rico,PR,45509,1085584,0,7684,18.46633,38.910832,1138777,3.996304808,95.32893622,0,0.674758974
Rhode Island,rhode island,RI,39239,458691,0,465,-71.477429,38.910832,498395,7.873072563,92.03362795,0,0.093299491
South Carolina,south carolina,SC,633868,3549811,184309,6203,-81.163725,38.910832,4374191,14.49109104,81.15354359,4.21355629,0.14180908
South Dakota,south dakota,SD,29291,305531,8608,1319,-99.901813,38.910832,344749,8.496326313,88.62418745,2.496889041,0.382597194
Tennessee,tennessee,TN,0,0,0,0,-86.580447,38.910832,0,0,0,0,0
Texas,texas,TNA,1570428,17960054,1117411,162348,-99.901813,38.910832,20810241,7.546419092,86.30392123,5.369524553,0.780135127
Utah,utah,UT,31581,1038820,44454,3510,-111.093731,38.910832,1118365,2.823854466,92.88738471,3.974909801,0.313851024
Vermont,vermont,VT,29603,178335,24692,475,-72.577841,38.910832,233105,12.6994273,76.50415049,10.59265138,0.203770833
Virgin Islands (U.S.),virgin islands (u.s.),VI,0,0,0,0,-83.824066,38.910832,0,0,0,0,0
Virginia,virginia,VA,543378,3408164,255328,0,-78.656894,38.910832,4206870,12.91644382,81.01424575,6.069310437,0
Washington,washington,WA,404921,4670887,369812,15745,-120.740139,38.910832,5461365,7.414281961,85.52599945,6.771420698,0.288297889
Wisconsin,wisconsin,WI,0,0,0,0,-88.787868,38.910832,0,0,0,0,0
Wyoming,wyoming,WY,26278,246700,5453,682,-107.290284,38.910832,279113,9.41482482,88.38714069,1.953689008,0.24434548
